#TYPE System.Data.DataRow
"Job Name,""Last Result"",""Descripcion"""
"SQL-JG,""Failed"",""Created by WETCOMLAB\pod1 at 03/12/2021 04:48 p.m.."""
"Prueba-JG,""Failed"",""Created by LABVEEAM\Administrator at 22/04/2021 04:48 p.m.."""
"FB - Backup1,""None"",""prueba hotadd"""
"C&A - vRA 7.6,""None"",""Created by LABVEEAM\Administrator at 05/03/2021 09:57 a.m.."""
"ESXI-GC,""None"",""Created by WETCOMLAB\pod1 at 01/11/2021 02:44 p.m.."""
"Backup vCenters Linked Mode - GR,""None"",""Created by WETCOMLAB\pod1 at 19/11/2021 01:05 p.m.."""
"vCenter-Yate,""Failed"",""Created by WETCOMLAB\pod1 at 19/01/2022 12:44 p.m.."""
"Test local disk,""None"",""Created by LABVEEAM\Administrator at 05/11/2021 01:17 p.m.."""
"vCenter-JG-2,""None"",""Created by WETCOMLAB\pod1 at 01/11/2021 02:41 p.m.."""
"Backup - vRO 8.4 MOPS,""None"",""Test de migraci?n vRO 7.x a 8.x"""
"vCenter-GC,""None"",""Created by WETCOMLAB\pod1 at 04/10/2021 12:54 p.m.."""
"FB-VDI,""None"",""Backup de componentes de VDI (FACUNDO BARISANO)"""
"FM_Test_rp,""Success"",""Created by WETCOMLAB\pod1 at 17/03/2022 01:35 p.m.."""
"vCenter-JG,""Failed"",""Created by WETCOMLAB\Pod1 at 23/08/2021 03:19 p.m.."""
"Prueba-Test-JG,""Failed"",""Created by WETCOMLAB\pod1 at 09/11/2021 04:33 p.m.."""
"MZ-FRAVEGA,""None"",""Created by LABVEEAM\Administrator at 24/01/2022 02:52 p.m.."""
"test-vmyate-jg,""None"",""Created by WETCOMLAB\Pod1 at 10/09/2021 12:19 p.m.."""
"test-jg,""None"",""Created by WETCOMLAB\Pod1 at 10/09/2021 11:07 a.m.."""
"Portal Ops QA,""Failed"",""Created by WETCOMLAB\pod3 at 04/06/2021 10:06 a.m.."""
"Backup Job 7,""None"",""Created by WETCOMLAB\pod3 at 06/07/2021 01:05 p.m.."""
"Test-Linux-JG,""None"",""Created by WETCOMLAB\Pod1 at 16/09/2021 10:55 a.m.."""
"Backup Job 8,""None"",""Created by LABVEEAM\Administrator at 08/07/2021 12:43 p.m.."""
"App NSX,""None"",""Created by LABVEEAM\Administrator at 09/06/2021 05:27 p.m.."""
"Backup - Veeam - POD1,""None"",""Created by LABVEEAM\Administrator at 11/05/2021 05:19 p.m.."""
"Job_Test_Automation,""None"",""Job de prueba para automatizaci?n de operaci?n """"Restore point"""" en cliente San Juan y Petersen"
"
Backup vCenterCOMM"",""None"",""Vcenter pod1"""
"KZ - ESXi's,""Failed"",""Created by WETCOMLAB\pod1 at 09/02/2022 10:41 a.m.."""
"Test-fmolina,""Failed"",""Created by WETCOMLAB\pod1 at 11/03/2022 12:36 p.m.."""
"Tobi backup,""Failed"",""Created by WETCOMLAB\POD1 at 01/06/2022 02:03 p.m.."""
"Prueba-Test-JG-2,""None"",""Created by WETCOMLAB\pod1 at 10/11/2021 09:36 a.m.."""
"BZ-ESXi04,""Failed"",""Created by WETCOMLAB\POD1 at 03/05/2022 10:57 a.m.."""
